name,success,CLOCK_CYCLES_1ST
468CA0L0AB1M1C0F,SUCCESS,276
468CA0L0AB0M0C1F,SUCCESS,220
468CA0L0AB0M1C1F,SUCCESS,248
468CA0L0AB1M0C1F,SUCCESS,248
468CA0L0AB1M1C1F,SUCCESS,303
468CA1L0AB0M0C1F,SUCCESS,195
468CA1L0AB0M1C1F,SUCCESS,223
468CA1L0AB1M0C1F,SUCCESS,223
468CA1L0AB1M1C1F,SUCCESS,279
485CA0L0AB0M0C0E,SUCCESS,200
485CA0L0AB0M1C0E,SUCCESS,229
485CA0L0AB1M0C0E,SUCCESS,229
485CA0L0AB1M1C0E,SUCCESS,286
485CA0L0AB0M0C1E,SUCCESS,228
485CA0L0AB0M1C1E,SUCCESS,257
485CA0L0AB1M0C1E,SUCCESS,257
485CA0L0AB1M1C1E,SUCCESS,314
485CA1L0AB0M0C1E,SUCCESS,200
485CA1L0AB0M1C1E,SUCCESS,229
485CA1L0AB1M0C1E,SUCCESS,229
485CA1L0AB1M1C1E,SUCCESS,286
485CA0L0AB0M0C0F,SUCCESS,200
485CA0L0AB0M1C0F,SUCCESS,229
485CA0L0AB1M0C0F,SUCCESS,229
485CA0L0AB1M1C0F,SUCCESS,286
485CA0L0AB0M0C1F,SUCCESS,228
485CA0L0AB0M1C1F,SUCCESS,257
485CA0L0AB1M0C1F,SUCCESS,257
485CA0L0AB1M1C1F,SUCCESS,314
485CA1L0AB0M0C1F,SUCCESS,202
485CA1L0AB0M1C1F,SUCCESS,231
485CA1L0AB1M0C1F,SUCCESS,231
485CA1L0AB1M1C1F,SUCCESS,289
502CA0L0AB0M0C0E,SUCCESS,207
502CA0L0AB0M1C0E,SUCCESS,237
502CA0L0AB1M0C0E,SUCCESS,237
502CA0L0AB1M1C0E,SUCCESS,296
502CA0L0AB0M0C1E,SUCCESS,236
502CA0L0AB0M1C1E,SUCCESS,266
502CA0L0AB1M0C1E,SUCCESS,266
502CA0L0AB1M1C1E,SUCCESS,325
502CA1L0AB0M0C1E,SUCCESS,207
502CA1L0AB0M1C1E,SUCCESS,237
502CA1L0AB1M0C1E,SUCCESS,237
502CA1L0AB1M1C1E,SUCCESS,296
502CA0L0AB0M0C0F,SUCCESS,207
502CA0L0AB0M1C0F,SUCCESS,237
502CA0L0AB1M0C0F,SUCCESS,237
502CA0L0AB1M1C0F,SUCCESS,296
